movie_title,gross,total_gross,theaters
Room,4860753,14677654,862
90 Minutes in Heaven,4842699,4842699,899
True Story,4719695,4719695,856
Suffragette,4657235,4702420,517
Top Five,4609863,25317471,1426
Baahubali: The Beginning,4518000,6738000,236
The Danish Girl,4506440,11114018,794
Hubble 3D,4449681,52522904,151
Dilwale,4394522,4871263,268
Found a Treasure Called Love,4364639,4364639,287
The Water Diviner,4196641,4196641,385
Irrational Man,4030360,4030360,925
Carol,3801134,12711491,790
Scouts Guide to the Zombie Apocalypse,3703046,3703046,1509
A la mala,3629842,3629842,384
Spare Parts,3618912,3618912,440
We Are Your Friends,3591417,3591417,2333
What We Do in the Shadows,3469224,3469224,154
Learning to Drive,3447633,3447633,339
Mr. Turner,3296974,3958500,120
Phoenix,3184472,3184472,197
Dil Dhadakne Do,3066100,3066100,238
Ladrones,3063505,3063505,375
Tanu Weds Manu Returns,3043479,3043479,136
Rock the Kasbah,3020664,3020664,2012
The End of the Tour,3002884,3002884,355
Wild Tales,2962621,3106530,122
Horrible Bosses 2,2699932,54445357,3400
He Named Me Malala,2668936,2668936,477
Captive,2583301,2583301,807
Chi-Raq,2570882,2653032,305
The Interview,2552397,6105175,581
Truth,2515179,2541854,1122
Mistress America,2500431,2500431,512
Pawn Sacrifice,2436633,2436633,781
The Oscar Nominated Short Films 2015: Live Action,2412593,2412593,280
Meru,2334228,2334228,176
My All-American,2246000,2246000,1565
Ode To My Father,2214386,2300121,38
Jem and the Holograms,2184640,2184640,2417
Spectacle,2065487,2065487,182
Island of Lemurs: Madagascar,2032822,11272213,302
Journey to the South Pacific,1952891,7653913,19
Cake,1951776,1951776,482
PK,1947108,10616104,272
Old Fashioned,1914090,1914090,298
Assassination,1904682,1904682,33
Game of Thrones Season 4 Finale,1896092,1896092,205
Under the Sea 3D,1852476,36262926,108
Legend,1852124,1872994,107
Clouds of Sils Maria,1851517,1851517,187
Testament of Youth,1822250,1822250,104
Piku,1801807,1801807,124
The Vatican Tapes,1784763,1784763,427
Jerusalem,1715647,8020721,33
Meet the Patels,1700681,1700681,101
Patterns of Evidence: Exodus,1689885,925576,652
Back To The Future Day,1650000,1650000,1815
The Letters,1627427,1647416,886
Gone Girl,1569606,167767189,3284
The Diary of a Teenage Girl,1477002,1477002,795
I,1449232,1449232,222
Infinitely Polar Bear,1430655,1430655,110
99 Homes,1411927,1411927,691
Welcome Back,1388365,1388365,135
Two Days One Night,1365642,1436243,120
The Cokeville Miracle,1348455,1348456,51
Alexander and the Terrible Horrible No Good Very Bad Day,1312348,66954149,3117
Iris,1310678,1310678,92
Lost in Hong Kong,1302281,1302281,34
The Wolfpack,1301696,1301696,94
Youth,1297379,2703296,149
Goodbye Mr. Loser,1293626,1293626,40
71,1270847,1270847,121
Dumb and Dumber To,1241145,86208010,3188
Beyond the Mask,1236094,1236094,181
Child 44,1224330,1224330,510
Veteran,1200627,1200627,46
Goodnight Mommy,1181196,1178196,90
Black Sea,1171559,1171559,353
Miss You Already,1162653,1162653,384
The Salt of the Earth,1158661,1343349,80
Where Hope Grows,1156000,1156000,276
Boyhood,1133939,25352281,775
The Overnight,1107423,1110522,307
Timbuktu,1075773,1076075,56
Leviathan,1050451,1092800,80
Finding Dory,486295561,486295561,4305
Rogue One: A Star Wars Story,408235850,532177324,4157
Captain America: Civil War,408084349,408084349,4226
The Secret Life of Pets,368384330,368384330,4381
The Jungle Book,364001123,364001123,4144
Deadpool,363070709,363070709,3856
Zootopia,341268248,341268248,3959
Batman v Superman: Dawn of Justice,330360194,330360194,4256
Suicide Squad,325100054,325100054,4255
Star Wars: Episode VII - The Force Awakens,284694956,936662225,4134
Doctor Strange,229876337,232641920,3882
Fantastic Beasts and Where to Find Them,222675573,234037575,4144
Moana,206477478,248757044,3875
The Revenant,182765375,183637894,3711
Jason Bourne,162434410,162434410,4039
Star Trek Beyond,158848340,158848340,3928
X-Men: Apocalypse,155442489,155442489,4153
Sing,152853995,270395425,4029
Trolls,150130292,153707064,4066
Kung Fu Panda 3,143528619,143528619,3987
Ghostbusters,128350574,128350574,3963
Central Intelligence,127440871,127440871,3508
The Legend of Tarzan,126643061,126643061,3591
Sully,124976335,125070033,3955
Bad Moms,113257297,113257297,3215
The Angry Birds Movie,107509366,107509366,3932
Independence Day: Resurgence,103144286,103144286,4130
The Conjuring 2,102470008,102470008,3356
Sausage Party,97685686,97685686,3135
The Magnificent Seven,93420253,93432655,3696
Arrival,91676099,100546139,3115
Ride Along 2,91221830,91221830,3192
Dont Breathe,89217875,89217875,3384
Miss Peregrines Home for Peculiar Children,86945137,87242834,3835
The Accountant,85856696,86260045,3402
Daddys Home,85672859,150357137,3483
Teenage Mutant Ninja Turtles: Out of the Shadows,82051601,82051601,4071
The Purge: Election Year,79213375,79213375,2821
Alice Through the Looking Glass,77041381,77041381,3763
Petes Dragon,76233151,76233151,3702
The Girl on the Train,75395035,75395035,3241
Tyler Perrys Boo! A Madea Halloween,73206343,73206343,2299
Storks,72414850,72679278,3922
10 Cloverfield Lane,72082998,72082998,3427
Lights Out,67268835,67268835,2835
Allegiant,66184051,66184051,3740
Now You See Me 2,65075540,65075540,3232
Hacksaw Ridge,64463214,67209615,2971
Ice Age: Collision Course,64063008,64063008,3997
The Boss,63285885,63285885,3495
London Has Fallen,62524260,62524260,3492
Miracles from Heaven,61705123,61705123,3155
Deepwater Horizon,61433527,61433527,3403
My Big Fat Greek Wedding 2,59689605,59689605,3179
Jack Reacher: Never Go Back,58546937,58697076,3780
Me Before You,56245075,56245075,2762
The BFG,55483770,55483770,3392
Neighbors 2: Sorority Rising,55455765,55455765,3416
Passengers,55380209,100014699,3478
The Shallows,55124043,55124043,2962
Barbershop: The Next Cut,54030051,54030051,2676
13 Hours,52853219,52853219,2917
Office Christmas Party,49815176,54767494,3210
The Huntsman: Winters War,48390190,48390190,3802
Kubo and the Two Strings,48023088,48023088,3279
Warcraft,47365290,47365290,3406
How to Be Single,46843513,46843513,3357
The Big Short,46264692,70259870,2529
Mike and Dave Need Wedding Dates,46009673,46009673,3008
War Dogs,43034523,43034523,3258
Almost Christmas,41964925,42158780,2379
Money Monster,41012075,41012075,3104
The Hateful Eight,40778206,54117416,2938
Allied,39541921,40098064,3160
Nerve,38583626,38583626,2538
Sisters,37921265,87044645,2978
Risen,36880033,36880033,2915
Assassins Creed,36415167,54647948,2996
The Nice Guys,36261763,36261763,2865
The Boy,35819556,35819556,2671
Dirty Grandpa,35593113,35593113,2912
Ouija: Origin of Evil,35144505,35144505,3168
The 5th Wave,34916787,34916787,2908
Inferno,34221651,34343574,3576
Mothers Day,32492859,32492859,3291
Gods of Egypt,31153464,31153464,3117
La La Land,30980271,151101803,3236
Why Him?,30633916,60323786,3008
Hail Caesar!,30498085,30498085,2248
Alvin and the Chipmunks: The Road Chip,30311560,85886987,3705
When the Bough Breaks,29747603,29747603,2246
Zoolander 2,28848693,28848693,3418
Joy,28141138,56451232,2924
The Finest Hours,27569558,27569558,3143
Florence Foster Jenkins,27383770,27383770,1528
Manchester by the Sea,27055039,47695371,1213
Hell or High Water,27007844,27007844,1505
The Forest,26594261,26594261,2509
Ben-Hur,26410477,26410477,3084
Fences,26330971,57682904,2368
The Witch,25138705,25138705,2204
Collateral Beauty,24342478,31016021,3028
Bridget Joness Baby,24252420,24252420,2930
What Now?,23591043,23591043,2567
Whiskey Tango Foxtrot,23083334,23083334,2413
Snowden,21587519,21587519,2443
Mechanic: Resurrection,21218403,21218403,2258
Free State of Jones,20810036,20810036,2815
Blair Witch,20777061,20777061,3121
Gods Not Dead 2,20774575,20774575,2419
