movie_title,gross,total_gross,theaters
A Quiet Passion,1865396,1865396,135
Toilet: A Love Story,1830715,1830715,178
The Wall,1803064,1803064,540
Free Fire,1799312,1799312,1070
The Last Word,1783421,1783421,380
The Post,1760121,81903458,2851
Goodbye Christopher Robin,1735251,1735251,262
Menashe,1703036,1703036,126
Slamma Jamma,1687000,1687000,502
When Harry Met Sejal,1664648,1664648,280
Jolly LLB 2,1654254,1654254,173
The Little Hours,1647175,1647175,114
The Comedian,1645145,1659002,848
A Ghost Story,1596371,1596371,329
Professor Marston & the Wonder Women,1584759,1584759,1229
The Stray,1579440,1579440,640
Genesis: Paradise Lost,1575000,1575000,419
Youth,1531824,1891956,35
A Taxi Driver,1527829,1527829,41
Sword Art Online The Movie: Ordinal Scale,1522976,1522976,621
Inhumans,1521787,1521787,393
Mully,1489771,1489771,738
Jane,1488431,1723379,96
Elle,1456579,2341534,209
Twins 2,1431255,1431255,192
The Wedding Plan,1412404,1412404,123
Toni Erdmann,1402731,1479387,112
The Dinner,1323312,1323312,505
Julieta,1312998,1490948,63
Wonder Wheel,1306605,1404061,536
Personal Shopper,1305195,1305195,153
My Friend Dahmer,1299765,1361611,110
Black Panther,700059566,700059566,4084
Avengers: Infinity War,678815482,678815482,4474
Incredibles 2,608581744,608581744,4410
Jurassic World: Fallen Kingdom,417719760,417719760,4485
Deadpool 2,318491426,318491426,4349
The Grinch,266280410,270620950,4141
Jumanji: Welcome to the Jungle,235512923,404515480,3849
Mission: Impossible - Fallout,220159104,220159104,4395
Ant-Man and the Wasp,216648740,216648740,4206
Solo: A Star Wars Story,213767512,213767512,4381
Venom,213312395,213515506,4250
A Star Is Born,201157885,215288866,3904
Aquaman,199059824,335061807,4184
Bohemian Rhapsody,189813133,216428042,4000
A Quiet Place,188024361,188024361,3808
Ralph Breaks the Internet,177616854,201091711,4017
Crazy Rich Asians,174039071,174532921,3865
Hotel Transylvania 3: Summer Vacation,168786400,167510016,4267
Halloween,159336510,159342015,3990
Fantastic Beasts: The Crimes of Grindelwald,156781859,159555901,4163
The Meg,145443742,145443742,4118
Oceans 8,140218711,140218711,4145
Ready Player One,137690172,137690172,4234
The Greatest Showman,125303456,174340174,3342
Mamma Mia! Here We Go Again,120634935,120634935,3514
The Nun,117450119,117450119,3876
Peter Rabbit,115253424,115253424,3725
Creed II,112448520,115715889,3752
Spider-Man: Into the Spider-Verse,108146445,190241310,3813
Mary Poppins Returns,105930461,171958438,4090
Star Wars: Episode VIII - The Last Jedi,102963014,620181382,4232
The Equalizer 2,102084362,102084362,3388
Rampage,101028233,101028233,4115
A Wrinkle in Time,100478608,100478608,3980
Fifty Shades Freed,100407760,100407760,3768
Christopher Robin,99215042,99215042,3602
I Can Only Imagine,83482352,83482352,2894
Smallfoot,82976621,83240103,4131
The Post,80143337,81903458,2851
Night School,77316580,77339130,3019
Bumblebee,71426119,127195589,3597
The First Purge,69488745,69488745,3038
Game Night,69179066,69179066,3502
Book Club,68566296,68566296,3169
The House with a Clock in Its Walls,68536400,68549695,3592
Skyscraper,68420120,68420120,3822
Insidious: The Last Key,67745330,67745330,3150
Instant Family,64845006,67363237,3426
The Mule,64720334,103804407,3329
Blockers,60311495,60311495,3418
Pacific Rim: Uprising,59874525,59874525,3708
Tomb Raider,58250803,58250803,3854
Maze Runner: The Death Cure,58032443,58032443,3793
Tag,54730625,54730625,3382
The Nutcracker and the Four Realms,54581769,54858851,3766
A Simple Favor,53548586,53548586,3102
Life of the Party,53059911,53059911,3656
The Predator,51024708,51024708,4070
Overboard,50316123,50316123,2006
Sicario: Day of the Soldado,50072235,50072235,3055
I Feel Pretty,48795601,48795601,3440
BlacKkKlansman,48271960,49275340,1914
The Shape of Water,48189258,63859435,2341
Red Sparrow,46874505,46874505,3064
Breaking In,46840590,46840590,2537
Goosebumps 2: Haunted Halloween,46700633,46700633,3723
12 Strong,45819713,45819713,3018
Den of Thieves,44947622,44947622,2432
First Man,44923035,44936545,3640
Hereditary,44069456,44069456,2998
Tyler Perrys Acrimony,43549096,43549096,2006
Sherlock Gnomes,43242871,43242871,3662
Uncle Drew,42469946,42469946,2742
Widows,41904173,42402632,2803
Pitch Perfect 3,41596925,104897530,3468
Truth or Dare,41411015,41411015,3068
Paddington 2,40891591,40891591,3702
Love Simon,40826341,40826341,2434
Darkest Hour,38335553,56468410,1733
The Commuter,36343858,36343858,2892
The 15:17 to Paris,36276286,36276286,3042
Mile 22,36108758,36108758,3520
Alpha,35857181,35857181,2881
Peppermint,35418723,35418723,2980
Death Wish,34017028,34017028,2882
The Spy Who Dumped Me,33562069,33562069,3111
Annihilation,32732301,32732301,2112
Green Book,32153006,85080171,2648
Isle of Dogs,32015231,32015231,1947
Nobodys Fool,31713110,31713110,2468
Adrift,31445012,31445012,3015
Ferdinand,30863663,84410380,3630
Robin Hood,30645013,30824628,2827
Super Troopers 2,30617396,30617396,2125
Slender Man,30569484,30569484,2358
Three Billboards Outside Ebbing Missouri,30349111,54513740,1726
Coco,29891816,209726015,3987
Teen Titans GO! to the Movies,29790236,29790236,3188
Hostiles,29733369,29819114,2934
The Hate U Give,29666375,29719483,2375
I Tonya,27581081,30014539,1450
Searching,26020957,26020957,2009
Winchester,25091816,25091816,2480
The Strangers: Prey at Night,24586708,24586708,2464
White Boy Rick,24011188,24011188,2504
Second Act,23544942,39282227,2607
Mollys Game,23403264,28780744,1708
Wont You Be My Neighbor?,22835787,22835787,893
Overlord,21704844,21704844,2859
Holmes & Watson,21249250,30573626,2780
Proud Mary,20877013,20877013,2125
The Happytime Murders,20706452,20706452,3256
Phantom Thread,20670365,21198205,1186
SuperFly,20545116,20545116,2220
Vice,19776167,47836282,2534
Show Dogs,17857020,17857020,3212
Bad Times at the El Royale,17839115,17839115,2808
Operation Finale,17612099,17612099,1818
Paul Apostle of Christ,17560475,17560475,1473
Lady Bird,17525810,48958273,1557
Sorry to Bother You,17493096,17493096,1050
Chappaquiddick,17395520,17395520,1645
Forever My Girl,16376066,16376066,1427
The Favourite,15888465,34366783,1554
Hunter Killer,15767460,15767460,2728
Mortal Engines,14894175,15951040,3103
The Girl in the Spiders Web,14841338,14841338,2929
The Possession of Hannah Grace,14622210,14837422,2298
RBG,14017361,14017361,432
Eighth Grade,13539709,13539709,1084
Call Me by Your Name,13020786,18095701,914
The Darkest Minds,12695691,12695691,3127
All the Money in the World,12401327,25113707,2123
Three Identical Strangers,12320845,12320845,433
Upgrade,11977130,11977130,1458
Padmaavat,11846060,11846060,354
Free Solo,11240573,17541090,483
The Old Man & the Gun,11197012,11277120,1042
Hell Fest,11107431,11107431,2297
Wonder,10863515,132422809,3519
The Miracle Season,10230620,10230620,1707
Mary Queen of Scots,9726230,16468499,1052
Midnight Sun,9561064,9561064,2173
Tully,9369755,9369755,1356
Traffik,9186156,9186156,1046
Unfriended: Dark Web,8866745,8866745,1547
Welcome to Marwen,8357895,10763520,1911
Early Man,8267544,8267544,2494
The Wife,8198156,9601092,541
The Death of Stalin,8047856,8047856,548
They Shall Not Grow Old,8031290,17956913,1335
Sanju,7909317,7909317,359
Unsane,7732899,7732899,2023
Beautiful Boy,7587613,7649973,776
Can You Ever Forgive Me?,7530304,8803865,555
Mid90s,7362439,7362439,1206
Downsizing,7289080,24449754,2668
Dog Days,6809080,6809080,2442
Boy Erased,6774202,6788692,672
Hotel Artemis,6708147,6708147,2407
A-X-L,6501381,6501381,1710
Fahrenheit 11/9,6352306,6352306,1719
Unbroken: Path to Redemption,6216897,6216897,1620
The Hurricane Heist,6115825,6115825,2402
Every Day,6102076,6102076,1669
Leave No Trace,6046104,6046104,361
Once Upon a Deadpool,6016007,6100309,1566
Death of a Nation,5885881,5885881,1005
Pandas,5757906,7574012,35
My Hero Academia: Two Heroes,5754556,5754556,535
Gods Not Dead: A Light in Darkness,5728940,5728940,1693
Kin,5718096,5718096,2141
Colette,5137622,5137622,593
Action Point,5059608,5059608,2032
Beirut,5019226,5019226,755
Gringo,4969853,4969853,2404
Samson,4719928,4719928,1249
Father Figures,4615957,17501244,2902
Johnny English Strikes Again,4412170,4412170,552
Gotti,4343227,4343227,503
Blindspotting,4333394,4333394,523
Burn the Stage: The Movie,4201819,4201819,645
Ya veremos,4165949,4165949,369
Life Itself,4102648,4102648,2609
Sgt. Stubby: An American Hero,4015323,4015935,1633
Thor: Ragnarok,3833139,315058289,4080
Gosnell: The Trial of Americas Biggest Serial Killer,3679893,3679893,673
Indivisible,3509836,3511417,830
The Oscar Nominated Short Films 2018: Live Action,3508777,3508777,272
Disobedience,3498782,3498782,247
Justice League,3478000,229024295,4051
First Reformed,3448256,3448256,334
Juliet Naked,3444895,3444895,467
Bad Samaritan,3435047,3435047,2007
7 Days in Entebbe,3326885,3326885,838
The Disaster Artist,3258821,21120616,1010
2001: A Space Odyssey,3236321,3236321,13
2.0,3222000,4152000,314
The Leisure Seeker,3212298,3226443,353
The Sisters Brothers,3143056,3143056,1141
Thoroughbreds,3072605,3072605,564
Whitney,3026351,3026351,451
American Animals,2856954,2856954,339
God Bless the Broken Road,2846257,2846257,1272
La boda de Valentina,2783739,2783739,331
Bharath Ane Nenu,2663090,2663090,305
You Were Never Really Here,2528078,2528078,233
A Beautiful Planet,2516896,15650615,155
Suspiria,2483472,2483472,311
The Rider,2419031,2419031,224
Mary and the Witchs Flower,2418404,2418404,573
Hearts Beat Loud,2386251,2386251,170
1991,2342264,2342264,83
Papillon,2335896,2335896,544
Daddys Home 2,2238062,104029443,3575
Murder on the Orient Express,2206919,102826543,3354
If Beale Street Could Talk,2129204,14915773,1018
Simmba,2110950,5102129,301
The Fall of the American Empire,2059945,2178460,73
Puzzle,2032018,2032018,265
Great Performances at the Met: Puccini: Tosca,2023749,2023749,691
A Fantastic Woman,2020988,2020988,190
Pope Francis: A Man of His Word,2008385,2008385,385
Assassination Nation,2005142,2005142,1403
The Front Runner,2000105,2000105,807
Detective Chinatown 2,1983984,1983984,115
Great Performances at the Met: Verdi: La Traviata,1882931,1882931,725
Ben Is Back,1875704,3703184,598
At Eternitys Gate,1853645,2294915,178
Moses,1807117,1807117,697
Great Performances at the Met: Puccini: La Bohème,1764201,1764201,687
Race 3,1690861,1690861,314
On the Basis of Sex,1676622,24622687,1957
Pad Man,1670192,1670192,152
A Private War,1617416,1633208,865
Great Performances at the Met: Verdi: Aida,1595902,1595902,699
The Bookshop,1588150,1588150,136
Operation Red Sea,1543547,1543547,55
Thugs of Hindostan,1449848,1449848,377
Dont Worry He Wont Get Far on Foot,1441705,1441705,266
Princess Mononoke,1423877,1423877,754
Finding Your Feet,1418682,1418682,277
Made for More,1409884,2999134,703
Little Women,1379497,1379497,643
Dunkirk,1367504,1695119,53
102 Not Out,1343797,1343797,102
Baaghi 2,1319579,1319579,123
Great Performances at the Met: Mozart: Così fan tutte,1302949,1302949,687
McQueen,1257275,1257275,95
The Seagull,1252960,1252960,211
Avengers: Endgame,858373000,858373000,4662
The Lion King,543638043,543638043,4802
Toy Story 4,434038008,434038008,4575
Frozen II,430144682,477373578,4440
Captain Marvel,426829839,426829839,4310
Star Wars: Episode IX - The Rise of Skywalker,390706234,515202542,4406
Spider-Man: Far from Home,390532085,390532085,4634
Aladdin,355559216,355559216,4476
Joker,333772511,335451311,4374
It Chapter Two,211593228,211593228,4570
Jumanji: The Next Level,192094536,316831246,4227
Us,175084580,175084580,3743
Fast & Furious Presents: Hobbs & Shaw,173956935,173956935,4344
John Wick: Chapter 3 - Parabellum,171015687,171015687,3850
How to Train Your Dragon: The Hidden World,160799505,160799505,4286
The Secret Life of Pets 2,157949395,158874395,4564
Pokémon Detective Pikachu,144105346,144105346,4248
Once Upon a Time... in Hollywood,141076968,142502728,3659
Shazam!,140371656,140371656,4306
Aquaman,136001983,335061807,4184
Knives Out,115711579,165363234,3461
Dumbo,114766307,114766307,4259
Maleficent: Mistress of Evil,113294737,113929605,3820
Glass,111048468,111048468,3844
Godzilla: King of the Monsters,110500138,110500138,4108
The Upside,108252517,108252517,3568
Ford v Ferrari,107196444,117624357,3746
The Lego Movie 2: The Second Part,105806508,105806508,4303
Hustlers,104960643,104963598,3525
The Addams Family,97185807,100044905,4107
Downton Abbey,96854135,96854135,3548
Rocketman,96368160,96368160,3610
Alita: Battle Angel,85710210,85710210,3802
Good Boys,83140306,83140306,3458
Spider-Man: Into the Spider-Verse,82094865,190241310,3813
Men in Black: International,80001807,80001807,4224
Annabelle Comes Home,74152591,74152591,3613
Yesterday,73286650,73286650,2755
A Madea Family Funeral,73257045,73257045,2442
Zombieland: Double Tap,72930156,73123082,3468
Angel Has Fallen,69030436,69030436,3336
Scary Stories to Tell in the Dark,68947075,68947075,3135
Mary Poppins Returns,66027977,171958438,4090
X-Men: Dark Phoenix,65845974,65845974,3721
Terminator: Dark Fate,62253077,62253077,4086
Abominable,60679265,60716390,4248
Dora and the Lost City of Gold,60477943,60477943,3735
Escape Room,57005601,57005601,2717
A Beautiful Day in the Neighborhood,56706993,61704055,3491
Midway,56279164,56846802,3242
Bumblebee,55769470,127195589,3597
The Curse of la Llorona,54733739,54733739,3372
Pet Sematary,54724696,54724696,3585
What Men Want,54611903,54611903,2912
Green Book,52927165,85080171,2648
Ad Astra,50188370,50188370,3460
Isnt It Romantic,48791187,48791187,3444
Gemini Man,48546770,48546770,3642
Ma,45896028,45896028,2816
Five Feet Apart,45729221,45729221,2866
Wonder Park,45216793,45216793,3838
Rambo: Last Blood,44819352,44819352,3618
Playing with Fire,44151387,44451847,3185
Harriet,42547700,43082155,2186
A Dogs Way Home,42004346,42004346,3090
The Angry Birds Movie 2,41667116,41667116,3869
Little,40860481,40860481,2667
Queen & Slim,40718945,43808310,1715
Breakthrough,40713082,40713082,2913
The Mule,39084073,103804407,3329
Crawl,39014193,39014193,3170
Little Women,37593127,108101214,3308
The Intruder,35419122,35419122,2231
The Hustle,35417038,35417038,3077
Last Christmas,35116450,35150750,3454
Overcomer,34746945,34746945,2293
Cold Pursuit,32138862,32138862,2630
Doctor Sleep,31543097,31581712,3855
Dragon Ball Super: Broly,30712119,30712119,1267
Long Shot,30316271,30316271,3230
Spies in Disguise,29323688,66757013,3502
Childs Play,29208403,29208403,3007
Ready or Not,28714231,28714231,2998
Happy Death Day 2U,28148130,28148130,3212
Vice,28060115,47836282,2534
21 Bridges,27747269,28539757,2665
Midsommar,27426361,27426361,2707
Bohemian Rhapsody,26614909,216428042,4000
The Art of Racing in the Rain,26395642,26395642,2765
Countdown,25594369,25621766,2675
Uncut Gems,25253119,50023780,2686
Judy,24017545,24313888,1627
Ralph Breaks the Internet,23474857,201091711,4017
Fighting with My Family,22958886,22958886,2855
On the Basis of Sex,22946065,24622687,1957
A Dogs Journey,22782371,22782371,3279
Booksmart,22680962,22680962,2518
Parasite,22633689,53369749,2001
Stuber,22370452,22370452,3050
47 Meters Down: Uncaged,22260900,22260900,2883
Black and Blue,22047506,22055313,2062
Hellboy,21903748,21903748,3303
Shaft,21360215,21360215,2952
Jojo Rabbit,21059726,33370906,1173
The Peanut Butter Falcon,20457151,20457151,1490
UglyDolls,20150241,20150241,3652
Cats,19970095,27166770,3380
Unplanned,19006109,19005109,1516
The Favourite,18478318,34366783,1554
Bombshell,18117885,31762808,1721
Richard Jewell,17822217,22345542,2502
Charlies Angels,17756400,17803077,3452
The Farewell,17695781,17695781,891
Brightburn,17300439,17300439,2607
The Good Liar,16973279,17156058,2454
The Kid Who Would Be King,16790790,16790790,3528
Missing Link,16649539,16649539,3437
Second Act,15737285,39282227,2607
Late Night,15499454,15499454,2220
Miss Bala,15006824,15006824,2203
The Prodigy,14856291,14856291,2530
A Star Is Born,14130981,215288866,3904
Poms,13631124,13631124,2750
If Beale Street Could Talk,12786569,14915773,1018
They Shall Not Grow Old,12253074,17956913,1335
The Kitchen,12180032,12180032,2745
After,12138565,12138565,2138
Blinded by the Light,11901145,11901145,2307
The Lighthouse,10772524,10867104,978
Dark Waters,10633879,11136084,2112
Greta,10532219,10532219,2417
The Best of Enemies,10205616,10205616,1705
Black Christmas,9867670,10429730,2625
Hotel Mumbai,9651611,9651611,930
Holmes & Watson,9324376,30573626,2780
Motherless Brooklyn,9277736,9277736,1342
No Manches Frida 2,9270920,9270920,472
Whered You Go Bernadette,9198356,9198356,2404
Apollo 11,9039891,9039891,588
Serenity,8547045,8547045,2561
Anna,7743794,7743794,2114
Penguins,7699452,7699452,1815
Brittany Runs a Marathon,7189808,7189808,1033
Mary Queen of Scots,6742269,16468499,1052
The Dead Dont Die,6563605,6563605,690
Jexi,6546159,6546159,2332
Run the Race,6424420,6424420,1075
Free Solo,6300518,17541090,483
The Current War: Directors Cut,5979540,5979540,1082
Captive State,5958315,5958315,2549
The Wandering Earth,5875487,5875487,129
Arctic Dogs,5801249,5801249,2844
Gloria Bell,5611123,5611123,1127
Gully Boy,5566534,5566534,270
Stan & Ollie,5386243,5470235,754
The Goldfinch,5332621,5332621,2542
Dont Let Go,5215062,5215062,922
The Mustang,5043620,5043620,527
The Sun Is Also a Star,4950029,4950029,2073
Bring The Soul: The Movie,4809800,4809800,873
Pavarotti,4600249,4600249,288
Tolkien,4535154,4535154,1501
The Last Black Man in San Francisco,4515719,4515719,207
War,4486000,4654000,305
Cold War,4427217,4580048,270
Menteur,4403322,4697364,89
Brian Banks,4376819,4376819,1240
The Biggest Little Farm,4366949,4366949,285
The Grinch,4340540,270620950,4141
Amazing Grace,4335184,4450456,263
Linda Ronstadt: The Sound of My Voice,4240509,4252657,247
Uri: The Surgical Strike,4186168,4186168,132
Replicas,4046429,4046429,2329
Pain and Glory,3873727,4567338,266
Ne Zha,3695533,3695533,135
Mission Mangal,3659413,3659413,263
The Oscar Nominated Short Films 2019: Documentary,3531094,3531094,415
BTS World Tour: Love Yourself in Seoul,3509917,3509917,997
The Beach Bum,3502600,3502600,1100
Echo in the Canyon,3355324,3355324,147
Creed II,3267369,115715889,3752
Jay and Silent Bob Reboot,3258814,4589490,788
Maiden,3164840,3168978,180
Simmba,2991179,5102129,301
Bharat,2971549,2971549,311
Honey Boy,2939993,3012615,460
Friends 25th: The One With The Anniversary,2884827,2884827,1586
Saaho,2872057,2872057,381
Fantastic Beasts: The Crimes of Grindelwald,2774042,159555901,4163
Kalank,2729336,2729336,320
Tod@s Caen,2670925,2670925,371
Everybody Knows,2660165,2660165,283
Instant Family,2518231,67363237,3426
The Art of Self-Defense,2410914,2410914,550
Arctic,2410795,2410795,268
Welcome to Marwen,2405625,10763520,1911
My People My Country,2356683,2356683,83
Promare,2287950,2313596,701
Super 30,2269878,2269878,317
Faustina: Love and Mercy,2243180,2243180,810
Gone with the Wind,2176120,2176120,717
3 from Hell,2172949,2172949,667
Total Dhamaal,2167632,2167632,209
Housefull 4,2109160,2109160,315
Shoplifters,2092669,3313513,144
The Wizard of Oz,2076020,2076020,681
Luce,2010613,2010613,235
Chhichhore,2004400,2004400,195
Official Secrets,1988618,1988546,485
Better Days,1921657,1921657,88
Badla,1861000,1861000,115
The White Crow,1828784,1828784,365
Ben Is Back,1827480,3703184,598
Pandas,1816106,7574012,35
The Other Side of Heaven 2: Fire of Faith,1807216,1807216,205
Ip Man 4: The Finale,1775960,3956031,125
Wild Rose,1635117,1635117,195
The Aftermath,1618497,1618497,344
Made for More,1589250,2999134,703
Red Joan,1579730,1579730,195
After the Wedding,1574258,1574258,428
Extreme Job,1565885,1565885,26
Waves,1562941,1658790,570
Qué León,1556856,2607916,86
Capernaum,1545118,1661096,136
The Kid,1508593,1508593,268
Kinky Boots: The Musical,1414290,900451,492
Destroyer,1411224,1533324,235
The Wife,1402934,9601092,541
El Chicano,1400603,1400603,605
Fantastic Fungi,1358874,1788322,37
1917,1326178,159227644,3987
Spirited Away,1322927,1322927,768
Never Look Away,1299506,1304042,122
Pilgrims Progress,1294596,1294596,758
Can You Ever Forgive Me?,1273561,8803865,555
Asterix: The Secret of the Magic Potion,1271953,1271953,76
Metallica & San Francisco Symphony - S&M2,1252385,1252385,655
BTS World Tour Love Yourself: Speak Yourself (The Final) Seoul Live Viewing,1226552,1226552,490
High Life,1225852,1225852,146
All Is True,1200481,1200481,328
Kingdom Men Rising,1188936,1188936,705
Los Domirriqueños 2,1187280,1187280,82
Ek Ladki Ko Dekha Toh Aisa Laga,1182636,1182636,193
No Safe Spaces,1159359,1291514,200
Nothing to Lose 2,1150551,1150551,105
Western Stars,1141681,1581681,553
Konosuba!: Gods Blessing on This Wonderful World! - Legend of Crimson,1134786,1134786,692
My Neighbor Totoro,1105564,1105564,767
Playmobil: The Movie,1104483,1115008,2337
